"name","group","element","units","context","S477901","S477911","S477923","S477932","S477941","S477904","S477913","S477921","S477931","S477942","S477908","S477915","S477926","S477935","S477900","S477910","S477920","S477930","S477940","S477902","S477912","S477922","S477933","S477943","S477903","S477916","S477924","S477934","S477944","S477905","S477914","S477925","S477936","S477906","S477917","S477929","S477938","S477907","S477918","S477928","S477939","S477909","S477919","S477927","S477937"
Monocotyledoneae undiff.,SEED,pollen,NISP,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monoletes undiff.,PTER,spore,NISP,,23,11,32,19,25,3,10,25,40,20,8,3,26,32,17,26,23,17,19,8,13,29,16,41,20,19,31,31,20,37,23,10,33,8,9,21,18,17,17,28,45,8,15,29,24
Moraceae undiff.,TRSH,pollen,NISP,,3,,1,,2,,,1,,1,,,2,,,,,2,,,1,1,,,,,,,3,,,2,,,3,,,1,,,,1,1,6,
Morelia senegalensis,TRSH,pollen,NISP,,,,,,,,1,,3,,,,2,,,,1,,1,,,,2,,,,1,1,,,,,,,,,,,,,1,,4,,
Myrianthus-type (M. arboreus),TRSH,pollen,NISP,,,,4,,3,3,1,1,,2,,1,,,,,1,2,2,,,,11,2,,,,1,,1,,1,,,,2,1,,,4,,,,,4
Myrica,TRSH,pollen,NISP,,,,,,,1,,,1,,,,,1,1,,,1,,,,,,,,,,1,,,,,,,,2,,,,,,,,2,1
Myrtaceae undiff.,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,,3,,,,,,,1,,,,,
Neoboutonia-type (N. melleri),TRSH,pollen,NISP,,,1,,1,,,1,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Nuxia-type (N. congesta),TRSH,pollen,NISP,,2,,,,,,,,,,,,2,,,,,,1,,,,,1,1,,1,,,,,1,1,,,,,,,,,,,,
Nymphaea lotus-type,AQVP,pollen,NISP,,1,,1,5,1,,2,3,,5,6,2,1,,1,5,5,3,2,6,2,7,6,,1,1,3,4,6,3,6,3,,3,3,2,3,2,,5,7,4,1,3,6
Olea capensis-type,TRSH,pollen,NISP,,,2,112,65,149,4,1,78,106,120,2,,66,67,1,,2,66,137,,4,5,89,178,1,6,68,86,99,1,2,52,41,1,2,38,83,,,32,111,,2,51,65
Olea europaea-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Onagraceae undiff.,UPHE,pollen,NISP,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,
Oncinotis-type,UPHE,pollen,NISP,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,4,,,2,,,,,,,,,
Pancovia-type (P. bijuga),TRSH,pollen,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Pandanus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Parinari-type,TRSH,pollen,NISP,,,,1,2,,1,,,2,5,,1,3,,2,,,2,1,,,1,,1,,,1,2,5,,,,1,1,,1,,,,,,,,,1
Pausinystalia-type (P. macroceras),TRSH,pollen,NISP,,1,1,4,,2,,,,5,,,,,,,,,6,2,,,4,7,,1,1,2,,5,,1,,,,,3,5,,,3,,,2,1,
Pavetta gardeniifolia-type,TRSH,pollen,NISP,,,,,,,,,,1,,,,,,,,,2,,,,1,,,,,3,,,,,,4,,,,,,,,,,,,
Persicaria senegalensis-type,UPHE,pollen,NISP,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Phaulopsis-type (P. imbricata),TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,
Phoenix reclinata-type,PALM,pollen,NISP,,1,,,,,2,,,1,,,2,,1,1,1,,1,,1,1,,,1,,1,,,,,2,1,,,,1,,2,,,,,,,
Phyllanthus-type (P. boehmi),UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Phyllanthus-type (P. nummulariifolius),TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Piliostigma thonningii-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,
